epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,427.296,1.5055,1.24238,1.44489,0.52483,0.5497,0.56338,0.28581,1.85168,2.00269,1.76256,0.000742625,0.000742625,0.000742625
43,437.097,1.54367,1.37129,1.45882,0.47456,0.63371,0.60133,0.2813,1.90742,2.55977,1.78892,0.00073025,0.00073025,0.00073025
44,446.874,1.53329,1.20483,1.4402,0.45976,0.62487,0.56292,0.2816,1.88353,2.39876,1.7304,0.000717875,0.000717875,0.000717875
45,456.461,1.49613,1.17163,1.40452,0.51991,0.45959,0.55775,0.27305,1.88815,1.86548,1.71995,0.0007055,0.0007055,0.0007055
46,466.635,1.53072,1.17514,1.43829,0.51361,0.59062,0.57781,0.28552,1.92569,2.11025,1.77898,0.000693125,0.000693125,0.000693125
47,476.636,1.47421,1.22268,1.40423,0.48662,0.52661,0.52331,0.25292,1.94031,1.82373,1.82699,0.00068075,0.00068075,0.00068075
48,486.478,1.4752,1.20992,1.41191,0.75327,0.58505,0.58031,0.27231,1.87426,1.77447,1.78659,0.000668375,0.000668375,0.000668375
49,496.159,1.49242,1.15009,1.42354,0.72415,0.53044,0.57259,0.29697,1.89036,1.86732,1.77027,0.000656,0.000656,0.000656
50,506.108,1.489,1.17624,1.41471,0.89369,0.46739,0.55924,0.27904,1.97312,1.59107,1.88846,0.000643625,0.000643625,0.000643625
51,515.874,1.4959,1.24019,1.41358,0.73415,0.6243,0.70066,0.31583,1.95363,2.14096,1.84845,0.00063125,0.00063125,0.00063125
52,525.663,1.4306,1.11626,1.37681,0.64206,0.6749,0.67644,0.31375,1.99844,1.99361,1.87664,0.000618875,0.000618875,0.000618875
53,535.318,1.48575,1.13359,1.40496,0.384,0.59691,0.55234,0.26932,1.90663,1.70298,1.77316,0.0006065,0.0006065,0.0006065
54,545.581,1.44016,1.08444,1.39149,0.94288,0.5187,0.61141,0.30077,1.93911,1.79492,1.82534,0.000594125,0.000594125,0.000594125
55,555.824,1.43425,1.07045,1.39898,0.67938,0.63646,0.65998,0.33281,1.95601,3.13114,1.86347,0.00058175,0.00058175,0.00058175
56,566.592,1.4516,1.07347,1.39205,0.88566,0.55673,0.61122,0.31728,1.84725,1.7432,1.75371,0.000569375,0.000569375,0.000569375
57,578.872,1.40721,1.12473,1.36266,0.65266,0.62084,0.62622,0.29392,1.91411,2.03122,1.80173,0.000557,0.000557,0.000557
58,590.121,1.42652,1.06839,1.39001,0.81583,0.43981,0.54718,0.24257,1.93426,1.83885,1.78313,0.000544625,0.000544625,0.000544625
59,602.296,1.42382,1.09301,1.38401,0.60527,0.4901,0.57184,0.29163,1.94915,1.70749,1.83403,0.00053225,0.00053225,0.00053225
60,613.871,1.38098,1.07273,1.35403,0.62349,0.62482,0.63119,0.3184,1.92507,1.78625,1.81352,0.000519875,0.000519875,0.000519875
61,626.331,1.38642,1.0324,1.33751,0.5716,0.66567,0.63198,0.332,1.9013,1.55,1.76037,0.0005075,0.0005075,0.0005075
62,636.866,1.3883,1.002,1.35831,0.57701,0.60541,0.58569,0.30397,1.94117,2.45696,1.79378,0.000495125,0.000495125,0.000495125
63,647.007,1.38196,1.03794,1.34855,0.55787,0.585,0.63017,0.30513,1.94283,1.93009,1.81484,0.00048275,0.00048275,0.00048275
64,657.359,1.3975,1.0171,1.349,0.58197,0.63377,0.61299,0.26998,1.92049,1.58978,1.79874,0.000470375,0.000470375,0.000470375
65,667.668,1.41785,1.02071,1.37819,0.54553,0.63039,0.59736,0.28948,1.93822,2.49271,1.84596,0.000458,0.000458,0.000458
66,677.964,1.38103,0.99931,1.3482,0.51336,0.47804,0.55713,0.28082,1.9144,1.89178,1.8124,0.000445625,0.000445625,0.000445625
67,688.188,1.36717,0.95852,1.34197,0.49388,0.54485,0.55922,0.27222,1.92826,1.77799,1.82731,0.00043325,0.00043325,0.00043325
68,698.809,1.38066,1.03665,1.34164,0.55039,0.57055,0.62619,0.29155,1.95851,1.57821,1.817,0.000420875,0.000420875,0.000420875
69,710.483,1.33809,0.98776,1.31871,0.57274,0.56474,0.61378,0.31626,1.99807,1.62325,1.90417,0.0004085,0.0004085,0.0004085
70,721.606,1.33156,0.94231,1.31205,0.63971,0.55027,0.62092,0.33179,1.9263,1.71701,1.80904,0.000396125,0.000396125,0.000396125
71,733.399,1.33422,0.97885,1.325,0.53645,0.54243,0.53549,0.25093,1.92584,1.59069,1.81053,0.00038375,0.00038375,0.00038375
72,744.209,1.321,0.94759,1.30608,0.61957,0.53038,0.55832,0.24903,1.98506,2.13648,1.89256,0.000371375,0.000371375,0.000371375
73,754.927,1.33667,0.92379,1.31757,0.58475,0.56955,0.62284,0.27231,1.92422,1.69849,1.8421,0.000359,0.000359,0.000359
74,765.318,1.30636,0.95105,1.31373,0.60965,0.61974,0.65105,0.33147,1.97323,1.69274,1.91763,0.000346625,0.000346625,0.000346625
75,775.502,1.3113,0.91588,1.28894,0.47422,0.62653,0.59632,0.29736,1.95675,1.87278,1.86443,0.00033425,0.00033425,0.00033425
76,785.787,1.3313,0.95895,1.31551,0.84096,0.51186,0.63312,0.31462,1.96058,1.68779,1.84965,0.000321875,0.000321875,0.000321875
77,796.086,1.28436,0.92822,1.29171,0.61273,0.48737,0.61551,0.31881,1.92104,1.68339,1.8618,0.0003095,0.0003095,0.0003095
78,806.407,1.30325,0.93416,1.30063,0.68399,0.46854,0.6187,0.33427,1.91167,1.5091,1.84903,0.000297125,0.000297125,0.000297125
79,816.875,1.26781,0.93502,1.28387,0.48671,0.67485,0.6518,0.35274,1.99081,1.78147,1.87536,0.00028475,0.00028475,0.00028475
80,826.887,1.25389,0.88149,1.26344,0.61643,0.61216,0.61721,0.31875,1.94907,1.63488,1.82877,0.000272375,0.000272375,0.000272375
81,839.168,1.28968,0.90729,1.2686,0.5976,0.55252,0.6128,0.32915,1.9565,1.68759,1.84639,0.00026,0.00026,0.00026
82,851.712,1.24859,0.88618,1.28655,0.57061,0.6113,0.60091,0.29166,1.94694,1.64484,1.84368,0.000247625,0.000247625,0.000247625
83,863.215,1.2792,0.91803,1.28852,0.57163,0.58292,0.6159,0.31294,1.9206,1.57314,1.84007,0.00023525,0.00023525,0.00023525
84,874.935,1.27785,0.89506,1.27913,0.61492,0.53148,0.61309,0.3278,1.95737,1.60375,1.88462,0.000222875,0.000222875,0.000222875
85,885.682,1.2735,0.87179,1.28546,0.5862,0.62605,0.63227,0.32463,1.96821,1.64578,1.91213,0.0002105,0.0002105,0.0002105
86,895.968,1.24864,0.8746,1.26863,0.63165,0.5273,0.64885,0.298,1.92039,1.45022,1.85105,0.000198125,0.000198125,0.000198125
87,906.365,1.23728,0.87103,1.26488,0.58153,0.61318,0.65159,0.31501,1.91493,1.46181,1.84447,0.00018575,0.00018575,0.00018575
88,916.845,1.24787,0.87611,1.26395,0.60373,0.62335,0.66751,0.32787,1.92446,1.5395,1.84829,0.000173375,0.000173375,0.000173375
89,927.167,1.24337,0.86536,1.28352,0.91137,0.54776,0.65429,0.30778,1.9188,1.60833,1.84994,0.000161,0.000161,0.000161
90,937.333,1.25709,0.87928,1.27399,0.59171,0.60918,0.62461,0.32277,1.91234,1.54253,1.84298,0.000148625,0.000148625,0.000148625
91,973.226,1.20014,0.77145,1.21542,0.59679,0.56201,0.5946,0.29,1.95099,1.49738,1.8647,0.00013625,0.00013625,0.00013625
92,984.381,1.13099,0.72824,1.18688,0.52369,0.51058,0.54238,0.25116,1.90444,1.44964,1.79649,0.000123875,0.000123875,0.000123875
93,995.4,1.10217,0.70273,1.17101,0.89965,0.56426,0.6035,0.29876,1.88773,1.47467,1.79138,0.0001115,0.0001115,0.0001115
94,1006.44,1.13466,0.66761,1.20775,0.8473,0.47893,0.57039,0.29576,1.89893,1.45982,1.80933,9.9125e-05,9.9125e-05,9.9125e-05
95,1016.85,1.10966,0.66762,1.16799,0.83847,0.48132,0.56791,0.26862,1.90672,1.47747,1.81401,8.675e-05,8.675e-05,8.675e-05
96,1026.94,1.13352,0.66206,1.17968,0.80769,0.47223,0.56988,0.25923,1.89454,1.48813,1.7949,7.4375e-05,7.4375e-05,7.4375e-05
97,1036.93,1.0997,0.65445,1.17476,0.90747,0.55383,0.62907,0.30354,1.88988,1.50588,1.80133,6.2e-05,6.2e-05,6.2e-05
98,1047.54,1.1315,0.65064,1.17891,0.90641,0.54347,0.61942,0.3159,1.89071,1.50158,1.8047,4.9625e-05,4.9625e-05,4.9625e-05
99,1057.76,1.12284,0.62774,1.18516,0.921,0.53523,0.62338,0.29229,1.888,1.49279,1.79261,3.725e-05,3.725e-05,3.725e-05
100,1067.89,1.10945,0.66255,1.17957,0.87644,0.56507,0.61925,0.30068,1.88573,1.50344,1.78748,2.4875e-05,2.4875e-05,2.4875e-05
