epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,783.818,1.58606,1.63104,1.65534,0.63999,0.56441,0.47844,0.21016,1.69717,1.71116,1.8219,0.000827187,0.000827187,0.000827187
43,802.429,1.57544,1.54247,1.62683,0.71614,0.53357,0.48246,0.22082,1.6916,1.96279,1.74125,0.000816875,0.000816875,0.000816875
44,820.843,1.57061,1.56516,1.6107,0.60654,0.45009,0.41413,0.18452,1.70174,2.30958,1.77016,0.000806562,0.000806562,0.000806562
45,839.372,1.597,1.51525,1.62316,0.70948,0.56889,0.49369,0.22969,1.73833,1.93706,1.79409,0.00079625,0.00079625,0.00079625
46,857.82,1.55552,1.55092,1.61945,0.66584,0.58407,0.49866,0.22764,1.74475,2.39151,1.88027,0.000785938,0.000785938,0.000785938
47,876.233,1.60523,1.49245,1.65802,0.68835,0.58337,0.51338,0.2374,1.70337,2.01854,1.85651,0.000775625,0.000775625,0.000775625
48,895.021,1.54997,1.48676,1.59568,0.66677,0.59812,0.4615,0.22175,1.70231,2.02618,1.80562,0.000765313,0.000765313,0.000765313
49,913.46,1.5373,1.54671,1.60978,0.67602,0.57954,0.52496,0.22778,1.6903,2.55911,1.80569,0.000755,0.000755,0.000755
50,932.208,1.55048,1.51905,1.60821,0.64634,0.6115,0.54109,0.24441,1.68393,1.96447,1.7829,0.000744688,0.000744688,0.000744688
51,950.64,1.59392,1.54883,1.63743,0.67638,0.53372,0.55575,0.25762,1.71808,1.87086,1.77962,0.000734375,0.000734375,0.000734375
52,969.153,1.52864,1.44289,1.59224,0.71914,0.48325,0.46973,0.2139,1.69873,1.89173,1.79063,0.000724062,0.000724062,0.000724062
53,990.953,1.53881,1.45384,1.58376,0.65101,0.60395,0.51609,0.20124,1.86579,2.28979,1.93485,0.00071375,0.00071375,0.00071375
54,1011.17,1.53011,1.42373,1.58393,0.68075,0.62236,0.46487,0.21853,1.70105,2.02773,1.8136,0.000703437,0.000703437,0.000703437
55,1045.65,1.53918,1.44767,1.57191,0.67186,0.59438,0.48563,0.20601,1.74445,2.22254,1.83942,0.000693125,0.000693125,0.000693125
56,1064.26,1.48392,1.36516,1.53339,0.67249,0.51087,0.50498,0.22707,1.76028,1.79125,1.86127,0.000682813,0.000682813,0.000682813
57,1082.63,1.50102,1.33322,1.55029,0.70287,0.54762,0.5093,0.24164,1.74181,1.83157,1.8589,0.0006725,0.0006725,0.0006725
58,1101.25,1.48655,1.3566,1.56841,0.673,0.63183,0.5398,0.25452,1.70444,1.87026,1.80303,0.000662188,0.000662188,0.000662188
59,1120.05,1.4912,1.41013,1.57301,0.66121,0.5234,0.47881,0.21651,1.78613,2.12672,1.87606,0.000651875,0.000651875,0.000651875
60,1138.44,1.52017,1.37798,1.55665,0.68908,0.61395,0.52884,0.25321,1.80329,1.81924,1.90818,0.000641562,0.000641562,0.000641562
61,1157.23,1.48155,1.32148,1.54661,0.67983,0.6036,0.52013,0.22897,1.73918,1.94605,1.89156,0.00063125,0.00063125,0.00063125
62,1175.93,1.50169,1.48291,1.57785,0.87998,0.49098,0.60019,0.29609,1.82157,1.6152,1.95724,0.000620938,0.000620938,0.000620938
63,1194.53,1.48262,1.36689,1.58039,0.70214,0.62283,0.57393,0.26848,1.84514,2.30408,1.98287,0.000610625,0.000610625,0.000610625
64,1213.19,1.44925,1.32369,1.519,0.80627,0.50474,0.55053,0.26453,1.7816,1.71001,1.9171,0.000600313,0.000600313,0.000600313
65,1231.89,1.49242,1.3168,1.53198,0.74167,0.61117,0.5418,0.26043,1.78114,1.82347,1.86572,0.00059,0.00059,0.00059
66,1250.58,1.47334,1.31133,1.53804,0.83011,0.61392,0.63594,0.28723,1.79304,1.53023,1.89252,0.000579688,0.000579688,0.000579688
67,1268.98,1.43413,1.31043,1.50505,0.89518,0.50955,0.59976,0.25495,1.79002,1.53338,1.91782,0.000569375,0.000569375,0.000569375
68,1288.25,1.45619,1.27149,1.52334,0.74656,0.54245,0.56231,0.28516,1.81881,1.76837,1.97941,0.000559062,0.000559062,0.000559062
69,1306.44,1.44505,1.28409,1.51532,0.54116,0.69112,0.57335,0.26004,1.79582,1.95733,1.90663,0.00054875,0.00054875,0.00054875
70,1325.33,1.46426,1.27302,1.54512,0.68214,0.62655,0.57879,0.2686,1.74215,1.90345,1.84768,0.000538438,0.000538438,0.000538438
71,1343.52,1.44219,1.28976,1.52263,0.48321,0.68561,0.56295,0.28162,1.7739,1.65438,1.89194,0.000528125,0.000528125,0.000528125
72,1361.87,1.45909,1.30566,1.53218,0.51152,0.54417,0.56962,0.29062,1.81645,1.66766,1.90698,0.000517813,0.000517813,0.000517813
